City,State,Lat,Lng,Date,MannerOfDeath,Armed,Age,Gender,Race,MentalIllness,ThreatLevel,Flee,BodyCamera,StateName,Year
Chatham,GA,32.10048,-81.15428,2018-01-23,shot,gun,24,Male,"Black, non-Hispanic",False,attack,Unknown,False,Georgia,2018
St. James,MN,43.98246,-94.62692,2018-01-31,shot,knife,20,Male,Hispanic,False,other,Foot,False,Minnesota,2018
Johnson,MO,38.11697,-93.92799,2018-03-03,shot,gun,70,Male,Unknown,False,attack,Not fleeing,False,Missouri,2018
Carroll,GA,33.77372,-84.51132,2018-03-05,shot,toy weapon,33,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Georgia,2018
St. Paul,MN,44.94441,-93.09327,2015-01-14,shot,vehicle,24,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,Minnesota,2015
Franklin,MO,39.0117,-92.75324,2015-01-14,shot,vehicle,29,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Missouri,2015
Orange,FL,30.2277,-85.02492,2015-02-08,shot,gun,46,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Florida,2015
Gaston,NC,36.50043,-77.64498,2015-02-17,shot,gun,43,Female,"White, non-Hispanic",False,attack,Not fleeing,False,North Carolina,2015
Eaton Rapids,MI,42.5092,-84.65581,2015-02-17,shot,gun,32,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Michigan,2015
St Louis,MO,38.62727,-90.19789,2015-02-28,shot,unarmed,34,Male,"Black, non-Hispanic",False,other,Car,False,Missouri,2015
Washington,DC,38.89511,-77.03637,2015-03-12,shot,unarmed,35,Male,"Black, non-Hispanic",True,other,Not fleeing,False,District of Columbia,2015
St. Paul,MN,44.94441,-93.09327,2015-03-16,shot,gun,28,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Minnesota,2015
Lawrence,AL,34.23232,-85.53107,2015-03-19,shot,box cutter,39,Male,"White, non-Hispanic",True,other,Not fleeing,True,Alabama,2015
New York,NY,40.71427,-74.00597,2015-04-25,shot,unarmed,24,Male,"Black, non-Hispanic",True,attack,Foot,False,New York,2015
St. Augustine,FL,29.89469,-81.31452,2015-05-11,shot,machete,28,Male,"White, non-Hispanic",True,other,Not fleeing,False,Florida,2015
St. Augustine,FL,29.89469,-81.31452,2015-05-14,shot,gun,53,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Florida,2015
Ft. Lauderdale,FL,26.12231,-80.14338,2015-05-21,shot,knife,29,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,Florida,2015
Okmulgee,OK,35.62344,-95.96055,2015-05-29,shot,gun,35,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Oklahoma,2015
Bronx,NY,40.849850000000004,-73.86641,2015-06-10,shot,gun,19,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,New York,2015
Bexar,TX,29.48329,-98.17084,2015-06-11,shot,gun,28,Male,Hispanic,True,attack,Not fleeing,False,Texas,2015
Powhatan,VA,37.33987,-79.2478,2015-08-03,shot,gun,71,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Virginia,2015
San Diego,CA,32.71533,-117.15726,2015-08-04,shot,undetermined,55,Male,Hispanic,True,other,Not fleeing,False,California,2015
Grayson,VA,36.76762,-80.94869,2015-09-23,shot,gun,45,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Virginia,2015
St. Paul,MN,44.94441,-93.09327,2015-09-24,shot,screwdriver,30,Male,Other,True,other,Not fleeing,False,Minnesota,2015
Washington,DC,38.89511,-77.03637,2015-10-26,shot,gun,21,Female,"Black, non-Hispanic",False,attack,Not fleeing,False,District of Columbia,2015
Washington,DC,38.89511,-77.03637,2015-11-02,shot,gun,62,Male,"Black, non-Hispanic",False,attack,Car,False,District of Columbia,2015
Braxton,WV,38.78954,-80.72926,2015-11-09,shot,gun,26,Male,"White, non-Hispanic",False,attack,Not fleeing,False,West Virginia,2015
Gibson,TN,35.87535,-88.84673,2015-11-13,shot,toy weapon,52,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Tennessee,2015
Whitfield,GA,33.07707,-84.94799,2015-11-16,shot,vehicle,25,Male,"White, non-Hispanic",False,other,Car,False,Georgia,2015
Opa-Locka,FL,25.90232,-80.25033,2015-11-18,shot,unknown weapon,25,Male,"Black, non-Hispanic",False,other,Not fleeing,False,Florida,2015
Washington,DC,38.89511,-77.03637,2015-11-19,shot,knife,34,Male,"Black, non-Hispanic",False,other,Not fleeing,False,District of Columbia,2015
Penn,PA,40.32896,-79.64115,2016-01-11,shot,unarmed,12,Female,"White, non-Hispanic",False,other,Not fleeing,False,Pennsylvania,2016
Cobb,GA,31.95878,-83.98851,2016-01-27,shot,gun,26,Male,Hispanic,False,attack,Car,False,Georgia,2016
Clackamas,OR,45.40762,-122.57037,2016-01-28,shot,gun,19,Male,"Black, non-Hispanic",True,other,Not fleeing,False,Oregon,2016
Washington,DC,38.89511,-77.03637,2016-02-01,shot,toy weapon,36,Male,"Black, non-Hispanic",False,attack,Foot,False,District of Columbia,2016
Perry,OH,41.76033,-81.14093,2016-02-04,shot,toy weapon,54,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Ohio,2016
Henderson,TX,32.15322,-94.79938,2016-02-10,shot,gun,56,Male,Other,True,attack,Not fleeing,False,Texas,2016
Macon,AL,33.73066,-86.07719,2016-04-03,shot,unknown weapon,36,Female,"White, non-Hispanic",True,other,Not fleeing,True,Alabama,2016
New York,NY,40.71427,-74.00597,2016-04-17,shot,gun,32,Male,"Black, non-Hispanic",False,attack,Foot,False,New York,2016
St. Paul,MN,44.94441,-93.09327,2016-05-09,shot,gun,33,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,Minnesota,2016
New York,NY,40.71427,-74.00597,2016-05-18,shot,knife,46,Male,"White, non-Hispanic",True,other,Not fleeing,False,New York,2016
Chesterfield,SC,34.73599,-80.08812,2016-05-21,shot,gun,63,Male,"White, non-Hispanic",False,attack,Not fleeing,False,South Carolina,2016
St. Paul,MN,44.94441,-93.09327,2016-05-26,shot,gun,29,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Minnesota,2016
Deland,FL,29.02832,-81.30312,2016-05-29,shot,knife,32,Male,"White, non-Hispanic",False,other,Not fleeing,False,Florida,2016
Ishpeming,MI,46.48855,-87.66764,2016-06-09,shot,gun,68,Male,"White, non-Hispanic",True,attack,Not fleeing,True,Michigan,2016
Iredell,NC,33.93323,-78.59112,2016-06-10,shot,baseball bat,29,Male,"White, non-Hispanic",False,other,Not fleeing,False,North Carolina,2016
New York,NY,40.71427,-74.00597,2016-06-19,shot,gun,25,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,New York,2016
Washington,DC,38.89511,-77.03637,2016-06-27,shot,toy weapon,63,Male,"Black, non-Hispanic",True,attack,Not fleeing,True,District of Columbia,2016
Washington,DC,38.89511,-77.03637,2016-07-04,shot,gun,21,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,District of Columbia,2016
East St. Louis,IL,38.6245,-90.15094,2016-07-11,shot,gun,41,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,Illinois,2016
New York,NY,40.71427,-74.00597,2016-07-11,shot,gun,39,Male,"Black, non-Hispanic",False,attack,Foot,False,New York,2016
New York,NY,40.71427,-74.00597,2016-07-17,shot,gun,42,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,New York,2016
Sylvania,OH,41.71894,-83.71299,2016-09-01,shot,vehicle,60,Male,"White, non-Hispanic",True,other,Not fleeing,False,Ohio,2016
Washington,DC,38.89511,-77.03637,2016-09-11,shot,motorcycle,31,Male,"Black, non-Hispanic",False,attack,Other,False,District of Columbia,2016
St. Cloud,MN,45.5608,-94.16249,2016-09-17,shot,knife,22,Male,Other,False,attack,Not fleeing,False,Minnesota,2016
Decatur,TN,35.51479,-84.79022,2016-09-20,shot,gun,35,Male,"White, non-Hispanic",False,other,Car,True,Tennessee,2016
Port St. Lucie,FL,27.29393,-80.35033,2016-09-20,shot,gun,22,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Florida,2016
Bronx,NY,40.849850000000004,-73.86641,2016-10-18,shot,baseball bat,66,Female,"Black, non-Hispanic",True,attack,Not fleeing,False,New York,2016
New York,NY,40.71427,-74.00597,2016-11-04,shot,gun,35,Male,Hispanic,True,attack,Other,False,New York,2016
Montrose,CO,38.47832,-107.87617,2016-11-11,shot,gun,47,Male,Unknown,False,attack,Not fleeing,False,Colorado,2016
York,PA,39.9626,-76.72774,2016-11-15,shot,vehicle,25,Male,"Black, non-Hispanic",False,other,Car,False,Pennsylvania,2016
Port St. Lucie,FL,27.29393,-80.35033,2016-11-18,shot and Tasered,machete,25,Male,"Black, non-Hispanic",True,other,Not fleeing,False,Florida,2016
Holland,MI,42.78752,-86.10893,2016-11-23,shot,knife,43,Male,"White, non-Hispanic",False,other,Not fleeing,False,Michigan,2016
Keaau,HI,19.62265,-155.03744,2016-12-09,shot,vehicle,30,Male,Other,False,other,Not fleeing,False,Hawaii,2016
Washington,DC,38.89511,-77.03637,2016-12-25,shot,knife,29,Male,"Black, non-Hispanic",False,other,Not fleeing,True,District of Columbia,2016
Huntingdon,PA,40.4848,-78.01028,2016-12-31,shot,gun,32,Male,"White, non-Hispanic",False,attack,Other,False,Pennsylvania,2016
New York,NY,40.71427,-74.00597,2017-01-14,shot and Tasered,screwdriver,28,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,New York,2017
Madison,OH,41.77116,-81.04982,2017-01-26,shot,metal pipe,34,Male,"White, non-Hispanic",False,other,Not fleeing,False,Ohio,2017
Jackson,AL,31.50905,-87.89444,2017-02-07,shot and Tasered,piece of wood,18,Male,"White, non-Hispanic",False,other,Not fleeing,False,Alabama,2017
Geneva,OH,39.66201,-82.43349,2017-02-09,shot and Tasered,unarmed,26,Male,"White, non-Hispanic",False,undetermined,Not fleeing,False,Ohio,2017
Aiea,HI,21.38222,-157.93361,2017-02-11,shot,vehicle,33,Male,Asian,False,other,Car,False,Hawaii,2017
New York,NY,40.71427,-74.00597,2017-02-19,shot,toy weapon,18,Male,Hispanic,False,attack,Foot,False,New York,2017
St. Joseph,MO,39.76861,-94.84663,2017-02-20,shot,unarmed,27,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Missouri,2017
Washington,DC,38.89511,-77.03637,2017-02-23,shot,gun,47,Male,"Black, non-Hispanic",False,attack,Foot,True,District of Columbia,2017
Union,PA,39.91038,-76.26301,2017-03-08,shot,gun,91,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Pennsylvania,2017
St. Paul,MN,44.94441,-93.09327,2017-03-15,shot,gun,29,Male,"Black, non-Hispanic",False,other,Not fleeing,False,Minnesota,2017
Cranbury,NJ,40.31622,-74.51376,2017-03-30,shot,vehicle,46,Male,"White, non-Hispanic",False,other,Car,False,New Jersey,2017
Madison,OH,41.77116,-81.04982,2017-04-06,shot,gun,38,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Ohio,2017
Colebrook,OH,41.53561,-80.76258,2017-04-15,shot,gun,56,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Ohio,2017
Logan,OK,36.57281,-100.21736,2017-04-20,shot,gun,64,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Oklahoma,2017
Papaaloa,HI,19.97515,-155.22031,2017-04-29,shot,crossbow,59,Male,"White, non-Hispanic",False,other,Not fleeing,False,Hawaii,2017
Brighton,MI,42.52948,-83.78022,2017-05-09,shot,toy weapon,36,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Michigan,2017
Baldwin,AL,34.18927,-86.91695,2017-05-12,shot,unarmed,35,Male,"White, non-Hispanic",False,other,Not fleeing,False,Alabama,2017
Washington,DC,38.89511,-77.03637,2017-05-16,shot,gun,41,Female,"White, non-Hispanic",False,attack,Not fleeing,False,District of Columbia,2017
Gonzales,TX,29.50163,-97.45249,2017-06-05,shot,gun,37,Male,"Black, non-Hispanic",False,other,Unknown,False,Texas,2017
St Louis,MO,38.62727,-90.19789,2017-06-13,shot,gun,33,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,Missouri,2017
New York,NY,40.71427,-74.00597,2017-07-05,shot,gun,34,Male,"Black, non-Hispanic",False,attack,Foot,False,New York,2017
Lauderdale,MS,32.52069,-88.5117,2017-08-04,shot,toy weapon,31,Male,"White, non-Hispanic",True,attack,Not fleeing,True,Mississippi,2017
Waterford,MI,42.69303,-83.41181,2017-08-24,shot,gun,28,Male,"White, non-Hispanic",True,other,Not fleeing,False,Michigan,2017
New York,NY,40.71427,-74.00597,2017-09-06,shot,knife,31,Male,"Black, non-Hispanic",True,other,Not fleeing,True,New York,2017
Canton,PA,41.65646,-76.85329,2017-10-01,shot,knife,34,Male,"White, non-Hispanic",True,other,Not fleeing,False,Pennsylvania,2017
St. Paul,MN,44.94441,-93.09327,2017-10-05,shot,gun,28,Male,Asian,False,attack,Not fleeing,True,Minnesota,2017
St. Joseph,MO,39.76861,-94.84663,2017-10-22,shot,gun,25,Female,"White, non-Hispanic",False,attack,Foot,False,Missouri,2017
Plymouth,PA,41.24036,-75.94464,2017-10-24,shot,unarmed,37,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Pennsylvania,2017
Owen,IN,38.45812,-85.5419,2017-11-04,shot,gun,31,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Indiana,2017
Neshoba,MS,32.62347,-89.13812,2017-11-09,shot,gun,35,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Mississippi,2017
Warren,KY,36.75342,-83.84409,2017-11-18,shot,vehicle,18,Male,"White, non-Hispanic",False,attack,Car,False,Kentucky,2017
Greenville,SC,34.85262,-82.39401,2017-11-19,shot,gun,27,Male,"White, non-Hispanic",False,attack,Car,False,South Carolina,2017
Holland,MI,42.78752,-86.10893,2017-11-23,shot,knife,43,Male,"White, non-Hispanic",True,other,Not fleeing,False,Michigan,2017
Penasco,NM,36.16947,-105.6864,2017-11-25,shot,gun,39,Male,Hispanic,False,attack,Not fleeing,False,New Mexico,2017
Bronx,NY,40.849850000000004,-73.86641,2017-12-05,shot,machete,69,Male,Hispanic,False,other,Not fleeing,False,New York,2017
Dover,PA,40.00176,-76.85025,2017-12-28,shot,gun,20,Male,Unknown,False,undetermined,Not fleeing,False,Pennsylvania,2017
Manchester,PA,40.06315,-76.7183,2018-01-06,shot,vehicle,27,Male,"White, non-Hispanic",False,other,Car,False,Pennsylvania,2018
Lexington,SC,33.98154,-81.23621,2018-01-11,shot,gun,44,Male,"White, non-Hispanic",False,attack,Car,False,South Carolina,2018
Union,MI,41.78616,-85.86778,2018-01-24,shot,gun,62,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Michigan,2018
Bronx,NY,40.849850000000004,-73.86641,2018-01-29,shot,knife,52,Male,"Black, non-Hispanic",False,other,Foot,True,New York,2018
St. Augustine,FL,29.89469,-81.31452,2018-02-06,shot,undetermined,59,Male,"White, non-Hispanic",False,other,Not fleeing,False,Florida,2018
Guadalupe,TX,28.75194,-96.92276,2018-02-18,shot,gun,33,Male,Hispanic,False,attack,Car,False,Texas,2018
Crawford,OH,40.30146,-80.9876,2018-02-26,shot,gun,27,Male,"White, non-Hispanic",False,attack,Foot,False,Ohio,2018
Bristol,PA,40.10067,-74.85183,2018-03-02,shot,unknown weapon,29,Male,Hispanic,False,other,Not fleeing,False,Pennsylvania,2018
Pima,AZ,32.89656,-109.82835,2018-03-03,shot,piece of wood,38,Female,Hispanic,False,other,Not fleeing,False,Arizona,2018
Sandy,UT,40.59161,-111.8841,2018-03-13,shot,gun,31,Male,"White, non-Hispanic",False,other,Not fleeing,False,Utah,2018
Scott,KY,36.68604,-89.06505,2018-03-20,shot,gun,32,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Kentucky,2018
Genesee,MI,43.11253,-83.61773,2018-03-23,shot,unknown weapon,40,Male,"White, non-Hispanic",False,other,Car,False,Michigan,2018
Wise,VA,36.97593,-82.57571,2018-03-26,shot,gun,34,Male,"White, non-Hispanic",False,other,Car,False,Virginia,2018
Shelton,WA,47.215089999999996,-123.10071,2015-01-02,shot,gun,53,Male,Asian,True,attack,Not fleeing,False,Washington,2015
Aloha,OR,45.49428,-122.86705,2015-01-02,shot,gun,47,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Oregon,2015
Wichita,KS,37.69224,-97.33754,2015-01-03,shot and Tasered,unarmed,23,Male,Hispanic,False,other,Not fleeing,False,Kansas,2015
San Francisco,CA,37.77493,-122.41942,2015-01-04,shot,toy weapon,32,Male,"White, non-Hispanic",True,attack,Not fleeing,False,California,2015
Evans,CO,40.37637,-104.69219,2015-01-04,shot,nail gun,39,Male,Hispanic,False,attack,Not fleeing,False,Colorado,2015
Guthrie,OK,35.87894,-97.42532,2015-01-04,shot,gun,18,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Oklahoma,2015
Chandler,AZ,33.30616,-111.84125,2015-01-05,shot,gun,22,Male,Hispanic,False,attack,Car,False,Arizona,2015
Assaria,KS,38.68028,-97.60448,2015-01-06,shot,gun,35,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Kansas,2015
Burlington,IA,40.80754,-91.11292,2015-01-06,shot,unarmed,34,Female,"White, non-Hispanic",False,other,Not fleeing,True,Iowa,2015
Knoxville,PA,41.95729,-77.43887,2015-01-06,shot,toy weapon,47,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,Pennsylvania,2015
Stockton,CA,37.9577,-121.29078,2015-01-06,shot and Tasered,knife,25,Male,"White, non-Hispanic",False,attack,Not fleeing,False,California,2015
Freeport,TX,28.95414,-95.35966,2015-01-07,shot,gun,31,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,Texas,2015
Columbus,OH,39.96118,-82.99879,2015-01-07,shot,knife,41,Male,"Black, non-Hispanic",True,other,Not fleeing,False,Ohio,2015
Des Moines,IA,41.60054,-93.60911,2015-01-07,shot,gun,30,Male,"White, non-Hispanic",False,attack,Car,False,Iowa,2015
New Orleans,LA,29.95465,-90.07507,2015-01-07,shot,gun,37,Male,"Black, non-Hispanic",False,attack,Foot,True,Louisiana,2015
Huntley,MT,45.8994,-108.30152,2015-01-08,shot,vehicle,28,Male,"White, non-Hispanic",False,undetermined,Not fleeing,False,Montana,2015
Salt Lake City,UT,40.76078,-111.89105,2015-01-08,shot,shovel,42,Male,"White, non-Hispanic",False,attack,Not fleeing,True,Utah,2015
Strong,AR,33.10763,-92.33486,2015-01-08,shot,unarmed,36,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,Arkansas,2015
Syracuse,UT,41.08939,-112.06467,2015-01-08,shot,gun,49,Male,"White, non-Hispanic",False,attack,Not fleeing,True,Utah,2015
England,AR,34.54426,-91.96903,2015-01-09,shot,gun,71,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Arkansas,2015
El Paso,TX,31.75872,-106.48693,2015-01-09,shot,gun,33,Male,Hispanic,False,attack,Not fleeing,False,Texas,2015
Arcola,IL,39.68476,-88.30644,2015-01-11,shot,gun,39,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Illinois,2015
South Gate,CA,33.95474,-118.21202,2015-01-11,shot,gun,23,Male,Hispanic,False,attack,Not fleeing,False,California,2015
North Las Vegas,NV,36.19886,-115.1175,2015-01-11,shot and Tasered,gun,29,Male,Hispanic,False,attack,Foot,False,Nevada,2015
Albuquerque,NM,35.08449,-106.65114,2015-01-13,shot,gun,34,Male,"White, non-Hispanic",False,attack,Foot,True,New Mexico,2015
Jourdanton,TX,28.91803,-98.54641,2015-01-13,shot,knife,43,Male,"White, non-Hispanic",True,other,Not fleeing,False,Texas,2015
Chesapeake,VA,36.81904,-76.27494,2015-01-14,shot,gun,34,Male,"Black, non-Hispanic",True,attack,Not fleeing,False,Virginia,2015
Old Bridge,NJ,40.41483,-74.36543,2015-01-14,shot,knife,75,Male,"White, non-Hispanic",False,attack,Not fleeing,False,New Jersey,2015
Lake Jackson,TX,29.03386,-95.43439,2015-01-14,shot,gun,68,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Texas,2015
Draper,UT,40.52467,-111.86382,2015-01-14,shot,knife,34,Male,"White, non-Hispanic",False,attack,Not fleeing,True,Utah,2015
Indianapolis,IN,39.76838,-86.15804,2015-01-15,shot,gun,27,Male,"Black, non-Hispanic",False,attack,Foot,False,Indiana,2015
Aurora,CO,39.72943,-104.83192,2015-01-15,shot,gun,39,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,Colorado,2015
Bloomington,MN,44.8408,-93.29828,2015-01-15,shot,gun,24,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Minnesota,2015
Fairfield,CA,38.24936,-122.03997,2015-01-15,shot,knife,36,Male,Hispanic,True,other,Not fleeing,False,California,2015
Mabank,TX,32.36653,-96.10081,2015-01-16,shot,gun,41,Male,"White, non-Hispanic",False,attack,Car,False,Texas,2015
Fremont,CA,37.54827,-121.98857,2015-01-16,shot and Tasered,knife,48,Male,Other,False,other,Not fleeing,False,California,2015
Muskogee,OK,35.74788,-95.36969,2015-01-17,shot,gun,21,Male,"Black, non-Hispanic",False,attack,Foot,True,Oklahoma,2015
Los Angeles,CA,34.05223,-118.24368,2015-01-17,shot,gun,24,Male,Hispanic,False,attack,Not fleeing,False,California,2015
Fort Worth,TX,32.72541,-97.32085,2015-01-17,shot,knife,27,Male,Hispanic,False,attack,Not fleeing,False,Texas,2015
Maricopa,AZ,33.05811,-112.04764,2015-01-18,shot,gun,32,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Arizona,2015
Gunlock,KY,37.5476,-82.926,2015-01-18,shot and Tasered,gun,67,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Kentucky,2015
Weymouth,MA,42.22093,-70.93977,2015-01-19,shot,knife,49,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Massachusetts,2015
Scottsdale,AZ,33.50921,-111.89903,2015-01-20,shot,vehicle,42,Male,"Black, non-Hispanic",False,other,Car,False,Arizona,2015
Hemet,CA,33.74761,-116.97307,2015-01-21,shot,gun,36,Male,"White, non-Hispanic",False,attack,Not fleeing,False,California,2015
St. Louis,MO,38.62727,-90.19789,2015-01-21,shot,gun,19,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,Missouri,2015
St. Louis,MO,38.62727,-90.19789,2015-01-21,shot,gun,19,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,Missouri,2015
Derry,NH,42.88064,-71.32729,2015-01-21,shot,gun,54,Male,"White, non-Hispanic",True,attack,Not fleeing,False,New Hampshire,2015
Sierra Blanca,TX,31.17457,-105.35718,2015-01-22,shot,toy weapon,25,Male,"Black, non-Hispanic",False,attack,Car,False,Texas,2015
Longview,TX,32.5007,-94.74049,2015-01-22,shot and Tasered,knife,17,Female,"White, non-Hispanic",True,other,Not fleeing,False,Texas,2015
Austin,TX,30.26715,-97.74306,2015-01-23,shot,gun,61,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Texas,2015
